implementation,vertices,edges,time(ns),comparisons
a,1000,497556,10098500,4695
b,1000,497556,31072500,4608
a,2000,1997226,8206200,9583
b,2000,1997226,57808700,9509
a,3000,4497613,11401200,14094
b,3000,4497613,100125700,14265
a,4000,7990720,20768500,19186
b,4000,7990720,207179600,19156
a,5000,12492671,32883100,24024
b,5000,12492671,317727400,24098
a,6000,17985924,49823800,28477
b,6000,17985924,358262800,28487
a,7000,24483621,66011200,33891
b,7000,24483621,572461700,33885
a,8000,31987764,86571100,38523
b,8000,31987764,687077800,38610
a,9000,40490740,112248500,43474
b,9000,40490740,953973300,43884
a,10000,49984143,128540800,48433
b,10000,49984143,1135143400,48317
