implementation,vertices,edges,time(ns),comparisons
a,1000,2043,1449300,1288
b,1000,2043,212500,1288
a,2000,4466,5296400,2729
b,2000,4466,577000,2732
a,3000,4957,12472800,3627
b,3000,4957,772900,3627
a,4000,11938,22603000,6237
b,4000,11938,1597500,6246
a,5000,6133,32625800,5396
b,5000,6133,1184800,5396
a,6000,13295,46251800,8209
b,6000,13295,1806900,8203
a,7000,17867,63651200,10224
b,7000,17867,2380300,10227
a,8000,18435,82318200,11150
b,8000,18435,2444100,11131
a,9000,16907,104383900,11479
b,9000,16907,2560500,11478
a,10000,29811,129603900,15706
b,10000,29811,4249400,15693
