implementation,vertices,edges,time(ns),comparisons
a,10,34,3200,16
b,10,34,3400,16
a,11,39,1400,19
b,11,39,4800,19
a,12,57,1200,19
b,12,57,11500,19
a,13,57,1500,29
b,13,57,5000,29
a,14,76,1400,29
b,14,76,5500,29
a,15,87,1800,29
b,15,87,10000,29
a,16,113,1900,31
b,16,113,7200,32
a,17,111,3700,35
b,17,111,13000,35
a,18,132,2400,48
b,18,132,10300,48
a,19,164,2700,50
b,19,164,10500,48
a,20,158,2600,50
b,20,158,10300,49
a,21,196,2600,52
b,21,196,11900,52
a,22,212,2800,55
b,22,212,11700,53
a,23,243,2900,52
b,23,243,18700,52
a,24,261,3200,63
b,24,261,15000,62
a,25,253,4300,62
b,25,253,19500,62
a,26,318,3600,75
b,26,318,17400,71
a,27,307,3700,55
b,27,307,14000,54
a,28,366,5900,64
b,28,366,17100,64
a,29,356,3900,84
b,29,356,25800,83
a,30,376,4700,76
b,30,376,21400,76
a,31,456,4700,74
b,31,456,22300,76
a,32,480,5200,90
b,32,480,28400,91
a,33,465,5200,97
b,33,465,24400,99
a,34,513,5100,98
b,34,513,32800,97
a,35,594,14500,110
b,35,594,29500,109
a,36,562,5600,89
b,36,562,32200,90
a,37,626,6300,119
b,37,626,31800,109
a,38,670,5800,121
b,38,670,32900,125
a,39,741,9000,111
b,39,741,47100,115
a,40,761,6000,107
b,40,761,32700,111
a,41,812,6900,135
b,41,812,44800,132
a,42,833,8400,115
b,42,833,55900,115
a,43,903,6700,129
b,43,903,48500,137
a,44,914,7900,149
b,44,914,42200,144
a,45,901,8100,139
b,45,901,41800,143
a,46,954,9800,154
b,46,954,69200,158
a,47,1003,13800,162
b,47,1003,53400,164
a,48,1055,7800,153
b,48,1055,45700,155
a,49,1176,319800,156
b,49,1176,49200,157
a,50,1216,8800,152
b,50,1216,62200,161
a,51,1185,9100,164
b,51,1185,62600,166
a,52,1290,9100,167
b,52,1290,62900,179
a,53,1359,14600,168
b,53,1359,68600,164
a,54,1380,9500,170
b,54,1380,57200,172
a,55,1472,16300,164
b,55,1472,64100,168
a,56,1454,10100,160
b,56,1454,71900,160
a,57,1497,11800,173
b,57,1497,78000,170
a,58,1546,11500,200
b,58,1546,72400,203
a,59,1680,13600,201
b,59,1680,81200,203
a,60,1686,11800,212
b,60,1686,84500,205
a,61,1815,12100,203
b,61,1815,78900,207
a,62,1846,12000,193
b,62,1846,91200,201
a,63,1910,14100,201
b,63,1910,73700,207
a,64,1979,12900,226
b,64,1979,83500,227
a,65,1996,12700,232
b,65,1996,94300,233
a,66,2022,13400,225
b,66,2022,103700,223
a,67,2144,14300,245
b,67,2144,92300,237
a,68,2144,22200,209
b,68,2144,90400,206
a,69,2248,19900,232
b,69,2248,111900,235
a,70,2341,14800,238
b,70,2341,99400,236
a,71,2419,14700,252
b,71,2419,111500,258
a,72,2535,26200,281
b,72,2535,118200,287
a,73,2513,17000,248
b,73,2513,96200,246
a,74,2580,16400,273
b,74,2580,103800,264
a,75,2630,16300,283
b,75,2630,128300,279
a,76,2704,20200,262
b,76,2704,127600,265
a,77,2784,23000,297
b,77,2784,128600,298
a,78,2960,16800,275
b,78,2960,131300,272
a,79,2941,16900,267
b,79,2941,94300,267
a,80,3001,18200,277
b,80,3001,103600,268
a,81,3223,21900,288
b,81,3223,101000,295
a,82,3233,17400,274
b,82,3233,110800,275
a,83,3374,17600,303
b,83,3374,96100,299
a,84,3422,19200,319
b,84,3422,143700,300
a,85,3541,19000,287
b,85,3541,106000,270
a,86,3545,18900,309
b,86,3545,100100,300
a,87,3651,19500,305
b,87,3651,104900,307
a,88,3797,19700,321
b,88,3797,106800,325
a,89,3796,20500,316
b,89,3796,114700,313
a,90,3826,20900,332
b,90,3826,119100,347
a,91,3978,21000,331
b,91,3978,119000,337
a,92,4113,23200,345
b,92,4113,119900,334
a,93,4215,21900,346
b,93,4215,137500,345
a,94,4303,22000,334
b,94,4303,122000,337
a,95,4420,26800,359
b,95,4420,119200,382
a,96,4486,23000,360
b,96,4486,168100,355
a,97,4490,24000,374
b,97,4490,126600,390
a,98,4664,23300,381
b,98,4664,138500,372
a,99,4722,23400,362
b,99,4722,138800,358
a,100,4830,23800,362
b,100,4830,126500,368
a,101,4976,24800,408
b,101,4976,152300,408
a,102,5133,24800,396
b,102,5133,129600,401
a,103,5144,24700,362
b,103,5144,127100,364
a,104,5271,25200,405
b,104,5271,149400,401
a,105,5363,25500,364
b,105,5363,148000,372
a,106,5481,26200,399
b,106,5481,147900,400
a,107,5464,32500,396
b,107,5464,168500,400
a,108,5612,26800,415
b,108,5612,160100,410
a,109,5678,27600,425
b,109,5678,152300,433
a,110,5987,29200,437
b,110,5987,162500,438
a,111,6024,28200,421
b,111,6024,154000,409
a,112,6109,28200,435
b,112,6109,248700,424
a,113,6145,28100,401
b,113,6145,137300,399
a,114,6439,29900,449
b,114,6439,173200,442
a,115,6503,29000,437
b,115,6503,161300,450
a,116,6647,28700,434
b,116,6647,157300,436
a,117,6642,30500,441
b,117,6642,262800,445
a,118,6879,30400,447
b,118,6879,208900,447
a,119,6882,30900,430
b,119,6882,153100,438
a,120,6982,31800,459
b,120,6982,191800,468
a,121,7093,34500,471
b,121,7093,197100,473
a,122,7213,31500,470
b,122,7213,180400,476
a,123,7467,32500,446
b,123,7467,170200,441
a,124,7595,32200,508
b,124,7595,220700,531
a,125,7606,39700,501
b,125,7606,219700,488
a,126,7713,34200,495
b,126,7713,234700,498
a,127,7943,33400,481
b,127,7943,244700,471
a,128,7919,33700,477
b,128,7919,220900,474
a,129,8119,36000,517
b,129,8119,205500,497
a,130,8242,35500,546
b,130,8242,229900,519
a,131,8344,35700,547
b,131,8344,259200,519
a,132,8617,37000,528
b,132,8617,256500,523
a,133,8571,36800,532
b,133,8571,252200,520
a,134,8726,36200,514
b,134,8726,242500,514
a,135,8859,36900,502
b,135,8859,234400,515
a,136,8991,37400,522
b,136,8991,244300,522
a,137,9117,37800,505
b,137,9117,200700,521
a,138,9449,38700,550
b,138,9449,192300,548
a,139,9520,39600,569
b,139,9520,233900,552
a,140,9588,41300,542
b,140,9588,266000,541
a,141,9638,39600,558
b,141,9638,257200,553
a,142,10005,39500,582
b,142,10005,282800,574
a,143,9971,39800,545
b,143,9971,245000,538
a,144,10218,39800,558
b,144,10218,280700,586
a,145,10245,42500,625
b,145,10245,273800,607
a,146,10333,41500,615
b,146,10333,276100,614
a,147,10719,41500,597
b,147,10719,355500,582
a,148,10767,42600,619
b,148,10767,351900,597
a,149,10774,42100,593
b,149,10774,311500,600
a,150,10979,42200,574
b,150,10979,300400,565
a,151,11178,44700,609
b,151,11178,290300,602
a,152,11331,43500,598
b,152,11331,308000,608
a,153,11559,45100,640
b,153,11559,301100,626
a,154,11552,45500,631
b,154,11552,328600,629
a,155,11801,45600,592
b,155,11801,311400,596
a,156,11858,46500,616
b,156,11858,316000,612
a,157,12168,47200,628
b,157,12168,335400,625
a,158,12332,46700,628
b,158,12332,401200,642
a,159,12349,47500,659
b,159,12349,289500,651
a,160,12706,47800,642
b,160,12706,297700,631
a,161,12621,47600,641
b,161,12621,257700,614
a,162,12828,48100,634
b,162,12828,544000,641
a,163,12947,49400,655
b,163,12947,374800,650
a,164,13141,49700,670
b,164,13141,352500,669
a,165,13517,49900,665
b,165,13517,336000,663
a,166,13431,51100,646
b,166,13431,357400,649
a,167,13687,50300,655
b,167,13687,344900,661
a,168,13749,52000,661
b,168,13749,346900,657
a,169,13932,51800,691
b,169,13932,362400,719
a,170,14039,52700,688
b,170,14039,392200,702
a,171,14469,52700,747
b,171,14469,276500,722
a,172,14489,53700,687
b,172,14489,316700,691
a,173,14832,54500,740
b,173,14832,310700,762
a,174,14906,54400,713
b,174,14906,286600,712
a,175,14918,54900,699
b,175,14918,303000,703
a,176,15060,55800,746
b,176,15060,343900,753
a,177,15360,56100,724
b,177,15360,316700,726
a,178,15704,55700,742
b,178,15704,302200,730
a,179,15753,57300,763
b,179,15753,303400,760
a,180,15797,57400,724
b,180,15797,301000,742
a,181,16080,56900,758
b,181,16080,351100,762
a,182,16446,56500,770
b,182,16446,328500,760
a,183,16416,58900,774
b,183,16416,338700,785
a,184,16477,59100,734
b,184,16477,299900,713
a,185,17017,58400,732
b,185,17017,334200,743
a,186,17077,60700,787
b,186,17077,312200,773
a,187,17020,61000,767
b,187,17020,318500,774
a,188,17325,85700,745
b,188,17325,351500,745
a,189,17616,62900,769
b,189,17616,346300,778
a,190,17893,63500,760
b,190,17893,338900,755
a,191,17802,63700,798
b,191,17802,354500,792
a,192,17986,63600,812
b,192,17986,334700,810
a,193,18516,64500,782
b,193,18516,349500,785
a,194,18369,62600,767
b,194,18369,384600,776
a,195,18837,64800,822
b,195,18837,337100,827
a,196,18911,65500,806
b,196,18911,331600,815
a,197,19269,65800,796
b,197,19269,346200,809
a,198,19230,65600,816
b,198,19230,353200,837
a,199,19382,68000,810
b,199,19382,679600,806
a,200,19890,64300,788
b,200,19890,363900,802
a,201,20024,67800,819
b,201,20024,368500,830
a,202,20011,68900,832
b,202,20011,356000,872
a,203,20155,70000,844
b,203,20155,352200,850
a,204,20474,70400,869
b,204,20474,404800,853
a,205,20520,70400,848
b,205,20520,360100,836
a,206,20877,70400,854
b,206,20877,331100,855
a,207,21128,71300,855
b,207,21128,369900,830
a,208,21232,72300,901
b,208,21232,367000,869
a,209,21659,72500,925
b,209,21659,399700,931
a,210,21691,73700,875
b,210,21691,578900,843
a,211,21828,89100,890
b,211,21828,503400,886
a,212,22186,75200,908
b,212,22186,380200,904
a,213,22511,74100,901
b,213,22511,387000,886
a,214,22741,73800,898
b,214,22741,412900,917
a,215,22756,76500,903
b,215,22756,426500,893
a,216,23088,77600,952
b,216,23088,437000,926
a,217,23363,76800,878
b,217,23363,435400,878
a,218,23585,76500,931
b,218,23585,408700,938
a,219,23514,78100,905
b,219,23514,454400,896
a,220,23754,79300,933
b,220,23754,429000,929
a,221,23945,80100,955
b,221,23945,412900,935
a,222,24255,79100,949
b,222,24255,417800,921
a,223,24650,81600,939
b,223,24650,417000,969
a,224,24684,81800,942
b,224,24684,432200,947
a,225,25062,81800,929
b,225,25062,444000,934
a,226,25155,82200,978
b,226,25155,420200,998
a,227,25509,99600,983
b,227,25509,448100,973
a,228,25623,83900,933
b,228,25623,765800,941
a,229,25965,84200,957
b,229,25965,474400,955
a,230,26020,83400,954
b,230,26020,439300,951
a,231,26128,87800,943
b,231,26128,639500,924
a,232,26715,87000,1004
b,232,26715,504400,999
a,233,26980,85300,998
b,233,26980,458300,1006
a,234,26916,86800,966
b,234,26916,512800,985
a,235,27162,87900,976
b,235,27162,440500,1020
a,236,27634,90400,1012
b,236,27634,461500,983
a,237,27529,89500,986
b,237,27529,452300,960
a,238,27933,99400,1021
b,238,27933,454000,1022
a,239,28287,88900,1012
b,239,28287,490900,1032
a,240,28287,93400,1010
b,240,28287,453700,1024
a,241,28764,90900,1056
b,241,28764,475500,1054
a,242,28785,117000,994
b,242,28785,507600,1005
a,243,29403,91700,998
b,243,29403,483600,1020
a,244,29340,94200,1042
b,244,29340,491600,1032
a,245,29708,94000,1072
b,245,29708,577900,1060
a,246,30052,93800,1039
b,246,30052,575700,1019
a,247,30028,94700,1031
b,247,30028,518200,1029
a,248,30541,97100,1050
b,248,30541,522200,1024
a,249,30793,94400,1013
b,249,30793,516500,1022
a,250,30826,107500,1074
b,250,30826,491900,1068
a,251,31173,115000,1071
b,251,31173,567100,1075
a,252,31404,101100,1079
b,252,31404,495700,1125
a,253,31722,97800,1072
b,253,31722,534700,1061
a,254,31651,100500,1082
b,254,31651,521700,1057
a,255,31876,101200,1072
b,255,31876,507200,1085
a,256,32424,101400,1050
b,256,32424,534600,1068
a,257,32875,102500,1112
b,257,32875,517400,1099
a,258,32957,104900,1118
b,258,32957,516400,1131
a,259,33364,102300,1058
b,259,33364,519200,1096
a,260,33511,117500,1113
b,260,33511,550200,1150
a,261,33426,104700,1062
b,261,33426,668700,1097
a,262,34158,106200,1129
b,262,34158,539400,1164
a,263,34055,106500,1128
b,263,34055,559100,1145
a,264,34438,105500,1084
b,264,34438,531200,1054
a,265,34695,105700,1127
b,265,34695,623200,1158
a,266,35171,110100,1129
b,266,35171,583500,1154
a,267,34977,110500,1137
b,267,34977,638900,1102
a,268,35356,108800,1164
b,268,35356,581400,1158
a,269,35827,125000,1133
b,269,35827,604300,1137
a,270,36035,110400,1131
b,270,36035,602800,1192
a,271,36388,111900,1187
b,271,36388,695500,1186
a,272,36403,112100,1139
b,272,36403,598200,1168
a,273,36629,112900,1161
b,273,36629,629000,1166
a,274,37145,167300,1139
b,274,37145,598800,1136
a,275,37407,126200,1142
b,275,37407,705200,1148
a,276,37549,119600,1153
b,276,37549,600900,1171
a,277,38128,123400,1181
b,277,38128,633200,1213
a,278,38263,150300,1238
b,278,38263,696300,1219
a,279,38264,123100,1188
b,279,38264,609000,1198
a,280,39040,154800,1200
b,280,39040,746900,1194
a,281,39017,120300,1217
b,281,39017,673800,1223
a,282,39304,129000,1229
b,282,39304,639200,1229
a,283,39638,175300,1192
b,283,39638,721200,1187
a,284,39732,132500,1257
b,284,39732,653000,1250
a,285,40458,132300,1163
b,285,40458,631000,1197
a,286,40705,119500,1206
b,286,40705,762600,1170
a,287,40566,140800,1207
b,287,40566,667400,1205
a,288,41179,141600,1238
b,288,41179,674300,1272
a,289,41257,123200,1221
b,289,41257,808000,1253
a,290,41857,132000,1261
b,290,41857,678500,1262
a,291,41800,140800,1285
b,291,41800,712200,1286
a,292,42459,164500,1271
b,292,42459,824300,1243
a,293,42335,179300,1315
b,293,42335,734500,1291
a,294,42885,172300,1283
b,294,42885,861400,1273
a,295,42991,145600,1286
b,295,42991,736300,1308
a,296,43177,202900,1244
b,296,43177,747600,1260
a,297,43460,209500,1286
b,297,43460,821500,1270
a,298,44241,164300,1271
b,298,44241,792200,1277
a,299,44227,132000,1298
b,299,44227,789400,1312
a,300,44824,132100,1289
b,300,44824,720800,1329
a,301,44725,156600,1311
b,301,44725,727000,1267
a,302,45213,154200,1293
b,302,45213,704700,1274
a,303,45225,152100,1288
b,303,45225,703600,1339
a,304,46014,144200,1361
b,304,46014,754800,1321
a,305,46080,169400,1368
b,305,46080,806800,1346
a,306,46469,146700,1329
b,306,46469,722400,1329
a,307,46560,149200,1357
b,307,46560,734900,1320
a,308,46753,164200,1366
b,308,46753,801800,1351
a,309,47116,186400,1428
b,309,47116,855700,1371
a,310,47346,198800,1357
b,310,47346,885500,1344
a,311,47764,213100,1330
b,311,47764,904400,1345
a,312,48018,196500,1349
b,312,48018,910700,1353
a,313,48583,152300,1345
b,313,48583,782600,1340
a,314,48551,230300,1378
b,314,48551,869400,1352
a,315,49384,162200,1345
b,315,49384,788800,1366
a,316,49346,214300,1416
b,316,49346,838700,1442
a,317,49546,178700,1375
b,317,49546,830700,1381
a,318,50046,145700,1387
b,318,50046,920800,1331
a,319,50396,231300,1392
b,319,50396,909400,1400
a,320,50984,147800,1352
b,320,50984,924200,1390
a,321,50927,210800,1439
b,321,50927,925600,1449
a,322,51588,177300,1389
b,322,51588,1105700,1385
a,323,51945,211500,1383
b,323,51945,906200,1375
a,324,52160,176800,1423
b,324,52160,948400,1401
a,325,52179,168400,1323
b,325,52179,937700,1365
a,326,52628,176300,1407
b,326,52628,885000,1420
a,327,53048,221500,1470
b,327,53048,925200,1451
a,328,53204,178400,1433
b,328,53204,1036200,1476
a,329,53853,178400,1427
b,329,53853,894500,1442
a,330,53807,214300,1394
b,330,53807,916400,1392
a,331,54065,201700,1452
b,331,54065,1054800,1445
a,332,54319,225100,1452
b,332,54319,928500,1477
a,333,54886,222800,1455
b,333,54886,922100,1425
a,334,55203,218200,1452
b,334,55203,1000800,1456
a,335,55382,228500,1453
b,335,55382,1050500,1434
a,336,55765,222800,1410
b,336,55765,952600,1425
a,337,55982,184300,1477
b,337,55982,903500,1501
a,338,56576,252100,1511
b,338,56576,987200,1530
a,339,57237,227200,1522
b,339,57237,953100,1509
a,340,57280,178100,1475
b,340,57280,896800,1469
a,341,57511,241800,1506
b,341,57511,1057500,1501
a,342,58017,232400,1484
b,342,58017,1008900,1477
a,343,58468,186900,1564
b,343,58468,1029800,1564
a,344,58648,259900,1515
b,344,58648,1106300,1526
a,345,59228,227200,1552
b,345,59228,1190200,1531
a,346,59056,190000,1531
b,346,59056,989000,1565
a,347,59977,236800,1578
b,347,59977,1113000,1552
a,348,59730,240100,1575
b,348,59730,1050000,1486
a,349,60316,245700,1565
b,349,60316,1139700,1563
a,350,60524,247700,1530
b,350,60524,1129000,1509
a,351,61223,211300,1542
b,351,61223,1774900,1617
a,352,61351,205700,1580
b,352,61351,1059000,1598
a,353,61453,204900,1601
b,353,61453,1037300,1583
a,354,61927,197000,1543
b,354,61927,1223400,1541
a,355,62827,246700,1586
b,355,62827,1132000,1582
a,356,63025,224000,1533
b,356,63025,1138000,1558
a,357,63138,227300,1553
b,357,63138,1104800,1558
a,358,63417,198600,1593
b,358,63417,1089900,1581
a,359,63920,211400,1573
b,359,63920,1123300,1569
a,360,64268,199800,1625
b,360,64268,1287200,1599
a,361,64567,206300,1605
b,361,64567,1317500,1579
a,362,65164,245500,1597
b,362,65164,1225800,1598
a,363,65490,226700,1571
b,363,65490,1282800,1632
a,364,65824,218500,1651
b,364,65824,1150900,1635
a,365,66114,212100,1590
b,365,66114,1074100,1575
a,366,66343,230900,1633
b,366,66343,1153200,1573
a,367,67034,216400,1625
b,367,67034,1164100,1634
a,368,66841,267800,1656
b,368,66841,1299100,1649
a,369,67594,216100,1619
b,369,67594,1133900,1566
a,370,68026,259000,1650
b,370,68026,1334400,1660
a,371,67932,206600,1606
b,371,67932,1140500,1623
a,372,68512,266600,1677
b,372,68512,1221700,1627
a,373,69113,266200,1676
b,373,69113,1252300,1656
a,374,69315,271900,1634
b,374,69315,1255300,1637
a,375,70125,271700,1587
b,375,70125,1257000,1593
a,376,69790,265800,1644
b,376,69790,1286200,1666
a,377,70246,291300,1670
b,377,70246,1256800,1665
a,378,70838,213600,1706
b,378,70838,1203600,1667
a,379,71090,217100,1673
b,379,71090,1210300,1679
a,380,71293,276300,1658
b,380,71293,1191700,1643
a,381,72023,283600,1751
b,381,72023,1376500,1776
a,382,72061,275400,1673
b,382,72061,1232800,1685
a,383,72689,278000,1711
b,383,72689,1369700,1751
a,384,72976,278600,1715
b,384,72976,1321100,1699
a,385,73478,299300,1709
b,385,73478,1323400,1671
a,386,74155,280700,1739
b,386,74155,1341900,1714
a,387,74386,313600,1695
b,387,74386,1326500,1730
a,388,74511,228800,1731
b,388,74511,1270200,1721
a,389,74932,292400,1632
b,389,74932,1532100,1640
a,390,75143,291900,1695
b,390,75143,1303600,1732
a,391,75548,227700,1760
b,391,75548,1598700,1713
a,392,76609,236000,1695
b,392,76609,1249400,1739
a,393,77023,290600,1726
b,393,77023,1298900,1699
a,394,77278,243300,1742
b,394,77278,1255400,1722
a,395,77173,296000,1752
b,395,77173,1386200,1788
a,396,77742,251900,1710
b,396,77742,1365600,1687
a,397,77919,279300,1734
b,397,77919,1498100,1760
a,398,78592,296600,1758
b,398,78592,1412300,1783
a,399,79125,302200,1723
b,399,79125,1425100,1732
a,400,79069,296400,1756
b,400,79069,1417800,1752
a,401,79459,284600,1739
b,401,79459,1367500,1807
a,402,80544,288700,1765
b,402,80544,1377200,1778
a,403,80350,299900,1815
b,403,80350,1454000,1791
a,404,81221,296400,1786
b,404,81221,1497700,1805
a,405,81297,304000,1789
b,405,81297,1483500,1809
a,406,81734,289100,1805
b,406,81734,1442400,1746
a,407,81885,329100,1781
b,407,81885,1381300,1814
a,408,82406,301000,1777
b,408,82406,1447600,1781
a,409,82631,308400,1826
b,409,82631,1535400,1811
a,410,83495,287200,1769
b,410,83495,1431000,1840
a,411,83633,268200,1763
b,411,83633,1412300,1786
a,412,83975,306300,1841
b,412,83975,1588400,1838
a,413,84790,317500,1816
b,413,84790,1517300,1840
a,414,84677,284700,1843
b,414,84677,1494400,1811
a,415,85308,343800,1856
b,415,85308,1682100,1823
a,416,85943,261300,1816
b,416,85943,1579900,1810
a,417,85947,330600,1893
b,417,85947,1619100,1926
a,418,87076,254600,1866
b,418,87076,2149200,1850
a,419,87037,263800,1899
b,419,87037,2028200,1932
a,420,87698,339200,1901
b,420,87698,1766700,1918
a,421,88130,344800,1888
b,421,88130,1567700,1838
a,422,88324,279300,1838
b,422,88324,1710900,1849
a,423,88868,333600,1891
b,423,88868,1685600,1895
a,424,89014,321400,1882
b,424,89014,1827200,1871
a,425,89820,315000,1962
b,425,89820,1616200,1933
a,426,89866,336200,1890
b,426,89866,1655900,1887
a,427,90172,318300,1933
b,427,90172,1645100,1935
a,428,90707,329200,1907
b,428,90707,1735900,1880
a,429,91767,340900,1974
b,429,91767,1689100,1956
a,430,91530,348100,1938
b,430,91530,1664600,1926
a,431,92358,297700,1958
b,431,92358,1743800,1930
a,432,92827,319400,1922
b,432,92827,1847700,1944
a,433,92789,361600,1885
b,433,92789,1674000,1925
a,434,93456,359500,1885
b,434,93456,1798400,1903
a,435,93746,344800,1923
b,435,93746,1819300,1947
a,436,94433,290900,1879
b,436,94433,1691800,1893
a,437,94393,350600,2019
b,437,94393,1819900,2047
a,438,95134,346700,2019
b,438,95134,1874300,1952
a,439,95765,328600,1955
b,439,95765,1715900,1921
a,440,95938,347800,1935
b,440,95938,2009800,1943
a,441,96997,294300,2008
b,441,96997,1775400,1913
a,442,97038,344300,1930
b,442,97038,1810500,1931
a,443,97698,354100,1971
b,443,97698,1985400,1986
a,444,97983,392200,2041
b,444,97983,1798000,2022
a,445,98194,357700,1957
b,445,98194,1842200,1970
a,446,98592,381600,2030
b,446,98592,1900100,1995
a,447,99237,306600,1929
b,447,99237,1896800,1941
a,448,99702,369900,1976
b,448,99702,1859600,1999
a,449,100537,354000,2033
b,449,100537,1902900,2036
a,450,100812,387500,1968
b,450,100812,1898700,1957
a,451,101358,362100,2000
b,451,101358,1857600,2049
a,452,101555,370500,2046
b,452,101555,1922600,1983
a,453,102230,361700,2028
b,453,102230,1946200,2113
a,454,102238,361800,2027
b,454,102238,1806800,2060
a,455,102377,336700,2034
b,455,102377,1832200,1992
a,456,103507,366100,2062
b,456,103507,2002000,2053
a,457,103599,372400,2059
