implementation,vertices,edges,time(ns),comparisons
a,10,16,2600,11
b,10,16,1200,11
a,11,23,2300,12
b,11,23,1400,12
a,12,35,1500,15
b,12,35,3100,15
a,13,27,1600,17
b,13,27,2600,17
a,14,39,1600,23
b,14,39,6400,23
a,15,40,1800,22
b,15,40,2100,22
a,16,41,1800,23
b,16,41,2500,23
a,17,25,2200,19
b,17,25,1600,19
a,18,18,2100,17
b,18,18,1200,17
a,19,34,2300,23
b,19,34,5800,23
a,20,56,2800,31
b,20,56,4600,31
a,21,29,2700,24
b,21,29,2000,24
a,22,26,2700,23
b,22,26,1600,23
a,23,28,5300,23
b,23,28,1600,23
a,24,35,3200,29
b,24,35,3500,29
a,25,56,4100,32
b,25,56,4600,33
a,26,69,3900,35
b,26,69,10800,35
a,27,30,3400,27
b,27,30,3500,27
a,28,40,4400,31
b,28,40,3300,31
a,29,42,4300,31
b,29,42,2300,30
a,30,79,4400,44
b,30,79,3600,44
a,31,37,4200,31
b,31,37,2100,31
a,32,88,5000,47
b,32,88,5200,45
a,33,55,5400,38
b,33,55,2900,38
a,34,89,5700,52
b,34,89,4400,52
a,35,86,5900,56
b,35,86,4600,56
a,36,41,5200,36
b,36,41,3400,36
a,37,99,10200,59
b,37,99,5000,59
a,38,42,5700,41
b,38,42,3000,41
a,39,105,10200,51
b,39,105,4500,51
a,40,55,5900,44
b,40,55,3200,44
a,41,101,7000,55
b,41,101,4800,55
a,42,87,7500,55
b,42,87,4600,55
a,43,100,9000,56
b,43,100,4600,56
a,44,47,6800,47
b,44,47,3800,47
a,45,128,8400,65
b,45,128,5800,65
a,46,124,8400,66
b,46,124,5800,66
a,47,103,11900,61
b,47,103,4800,61
a,48,71,8100,58
b,48,71,4300,58
a,49,119,9300,75
b,49,119,7100,76
a,50,110,9000,72
b,50,110,5600,72
a,51,50,8500,50
b,51,50,3900,50
a,52,141,11200,70
b,52,141,6400,68
a,53,154,10400,83
b,53,154,7400,83
a,54,104,10000,64
b,54,104,5500,64
a,55,78,9600,59
b,55,78,4500,59
a,56,134,10700,84
b,56,134,7200,84
a,57,88,10200,69
b,57,88,6600,69
a,58,87,10900,65
b,58,87,4900,65
a,59,115,12100,70
b,59,115,6300,70
a,60,171,12700,95
b,60,171,8600,96
a,61,81,13700,64
b,61,81,4900,64
a,62,66,11700,61
b,62,66,3800,61
a,63,158,13900,84
b,63,158,12200,84
a,64,111,18400,75
b,64,111,6700,75
a,65,118,17700,84
b,65,118,7500,84
a,66,134,13600,88
b,66,134,7500,88
a,67,66,12500,66
b,67,66,5500,66
a,68,133,13600,84
b,68,133,6600,84
a,69,119,14000,86
b,69,119,7800,86
a,70,184,15100,91
b,70,184,12300,91
a,71,96,16500,77
b,71,96,5400,77
a,72,179,22000,105
b,72,179,9300,105
a,73,201,15500,108
b,73,201,10400,107
a,74,204,18800,108
b,74,204,18500,107
a,75,199,17000,114
b,75,199,10800,113
a,76,185,17300,102
b,76,185,9700,102
a,77,225,17800,122
b,77,225,10900,123
a,78,87,15700,83
b,78,87,5500,83
a,79,195,18400,114
b,79,195,10100,114
a,80,155,17300,102
b,80,155,8700,102
a,81,128,17600,100
b,81,128,8100,100
a,82,230,19500,130
b,82,230,11500,130
a,83,174,19400,109
b,83,174,8800,109
a,84,198,19900,126
b,84,198,11200,127
a,85,187,19800,108
b,85,187,9700,108
a,86,248,21400,132
b,86,248,12000,132
a,87,232,21400,124
b,87,232,11800,124
a,88,158,23800,100
b,88,158,8900,100
a,89,207,21100,119
b,89,207,10400,120
a,90,192,21200,116
b,90,192,11400,116
a,91,154,20300,105
b,91,154,10000,105
a,92,224,21900,128
b,92,224,11600,128
a,93,278,24400,144
b,93,278,15700,144
a,94,272,24300,140
b,94,272,15400,140
a,95,100,21000,95
b,95,100,8300,95
a,96,208,23300,139
b,96,208,16300,142
a,97,116,22100,101
b,97,116,8900,101
a,98,97,22500,97
b,98,97,11600,97
a,99,175,23500,124
b,99,175,10500,123
a,100,279,26100,163
b,100,279,15800,162
a,101,229,25600,142
b,101,229,13300,143
a,102,276,27100,151
b,102,276,14000,151
a,103,149,24700,121
b,103,149,9400,121
a,104,275,27300,151
b,104,275,14400,151
a,105,298,27800,147
b,105,298,14100,147
a,106,296,28500,152
b,106,296,14800,152
a,107,247,27500,148
b,107,247,13100,149
a,108,130,25800,115
b,108,130,8300,115
a,109,199,28000,135
b,109,199,11400,136
a,110,276,29300,157
b,110,276,14700,156
a,111,189,30100,130
b,111,189,11000,130
a,112,159,27700,129
b,112,159,10700,129
a,113,239,29900,157
b,113,239,13300,157
a,114,142,29600,124
b,114,142,9200,124
a,115,196,28900,140
b,115,196,12000,140
a,116,226,30500,146
b,116,226,12700,146
a,117,166,30200,131
b,117,166,10300,130
a,118,126,29500,122
b,118,126,7900,122
a,119,227,30500,145
b,119,227,12900,145
a,120,175,31200,128
b,120,175,10300,128
a,121,252,32600,158
b,121,252,14600,158
a,122,146,31200,128
b,122,146,9400,128
a,123,132,30800,125
b,123,132,8500,125
a,124,287,34400,170
b,124,287,16200,170
a,125,224,33200,162
b,125,224,16800,162
a,126,264,34800,168
b,126,264,15900,169
a,127,327,37000,187
b,127,327,18300,187
a,128,250,35100,172
b,128,250,15600,173
a,129,190,34200,151
b,129,190,13000,151
a,130,151,33400,137
b,130,151,10000,137
a,131,277,36900,172
b,131,277,16000,172
a,132,354,38400,204
b,132,354,19900,204
a,133,183,35800,153
b,133,183,12500,154
a,134,133,35200,133
b,134,133,8400,133
a,135,285,38300,187
b,135,285,19400,188
a,136,171,36000,149
b,136,171,11600,148
a,137,247,38000,172
b,137,247,16700,172
a,138,138,36600,138
b,138,138,8300,138
a,139,195,37900,158
b,139,195,13200,158
a,140,365,44600,207
b,140,365,19600,207
a,141,239,39700,173
b,141,239,15500,175
a,142,195,39300,158
b,142,195,14100,159
a,143,387,44400,216
b,143,387,21200,215
a,144,233,41500,165
b,144,233,13900,165
a,145,293,43400,184
